--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Tue Nov 22 11:33:15 2022
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 14656, 'vms': 7.08984375}
{'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'pid': 14660, 'vms': 7.4296875}
{'name': 'taskhostw.exe', 'username': 'MSI\\Onkar Ople', 'pid': 14664, 'vms': 7.6796875}
{'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'pid': 14680, 'vms': 59.9921875}
{'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'pid': 15056, 'vms': 134.03125}
{'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'pid': 15672, 'vms': 20.375}
{'name': 'conhost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 16064, 'vms': 5.28515625}
{'name': 'msedgewebview2.exe', 'username': 'MSI\\Onkar Ople', 'pid': 16136, 'vms': 38.30078125}
{'name': 'python.exe', 'username': 'MSI\\Onkar Ople', 'pid': 16340, 'vms': 10.76953125}
{'name': 'onlinent.exe', 'username': 'MSI\\Onkar Ople', 'pid': 16416, 'vms': 6.4921875}
{'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'pid': 16696, 'vms': 98.03515625}
{'name': 'IAStorIcon.exe', 'username': 'MSI\\Onkar Ople', 'pid': 16728, 'vms': 33.8203125}
{'name': 'RuntimeBroker.exe', 'username': 'MSI\\Onkar Ople', 'pid': 17536, 'vms': 7.62890625}
{'name': 'cmd.exe', 'username': 'MSI\\Onkar Ople', 'pid': 17560, 'vms': 3.56640625}
{'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'pid': 17648, 'vms': 196.41015625}
{'name': 'dllhost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 18032, 'vms': 5.75390625}
{'name': 'python.exe', 'username': 'MSI\\Onkar Ople', 'pid': 18036, 'vms': 24.79296875}
{'name': 'StartMenuExperienceHost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 18172, 'vms': 28.734375}
{'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'pid': 18228, 'vms': 17.953125}
{'name': 'TextInputHost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 18296, 'vms': 18.11328125}
{'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'pid': 18580, 'vms': 50.75}
{'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 18720, 'vms': 2.03125}
{'name': 'nvcontainer.exe', 'username': 'MSI\\Onkar Ople', 'pid': 18724, 'vms': 8.03515625}
{'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 18732, 'vms': 7.91796875}
{'name': 'cpptools.exe', 'username': 'MSI\\Onkar Ople', 'pid': 18996, 'vms': 5.65234375}
{'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'pid': 19256, 'vms': 24.9375}
{'name': 'NVIDIA Share.exe', 'username': 'MSI\\Onkar Ople', 'pid': 19512, 'vms': 34.34375}
{'name': 'NVIDIA Share.exe', 'username': 'MSI\\Onkar Ople', 'pid': 19672, 'vms': 27.10546875}
{'name': 'nahimicNotifSys.exe', 'username': 'MSI\\Onkar Ople', 'pid': 19812, 'vms': 40.84375}
{'name': 'python.exe', 'username': 'MSI\\Onkar Ople', 'pid': 20016, 'vms': 10.70703125}
{'name': 'SecurityHealthSystray.exe', 'username': 'MSI\\Onkar Ople', 'pid': 20268, 'vms': 1.79296875}
{'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'pid': 20540, 'vms': 19.6484375}
{'name': 'SearchHost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 20644, 'vms': 109.4765625}
{'name': 'nvcontainer.exe', 'username': 'MSI\\Onkar Ople', 'pid': 20672, 'vms': 35.96875}
{'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'pid': 20800, 'vms': 10.59765625}
{'name': 'conhost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 20944, 'vms': 5.4140625}
{'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 20956, 'vms': 11.6484375}
{'name': 'PhoneExperienceHost.exe', 'username': 'MSI\\Onkar Ople', 'pid': 21048, 'vms': 70.015625}
{'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'pid': 21060, 'vms': 21.421875}
{'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'pid': 21176, 'vms': 21.859375}
